	Author_ID	Aff_Order	First	Middle	Last	Department	Institute	City	Country
0	1	1	Selim	Melvin	Atay	Neuroscience and Neurotechnology	Middle East Technical University	Ankara	Turkey
1	2	1	Katja		Heuer	Center for Research and Interdisciplinarity	Université Paris Descartes	Paris	France
2	2	2				Department of Neuropsychology	Max Planck Institute for Human Cognitive and Brain Sciences	Leipzig	Germany
3	3	1	Eneko		Uruñuela		Basque Center on Cognition, Brain and Language	San Sebastián-Donostia	Spain
4	3	2					University of the Basque Country (EHU UPV)	San Sebastián-Donostia	Spain
5	4	1	Saskia		Bollmann	Centre for Advanced Imaging	The University of Queensland	Brisbane	Australia
6	5	1	Davide		Momi	Department of Neuroscience, Imaging and Clinical Sciences	"University ""G. d'Annunzio"" of Chieti"	Chieti	Italy
7	6	1	Antonino		Vallesi	Department of Neuroscience & Padova Neuroscience Center	University of Padova	Padova	Italy
8	6	2				Brain Imaging and Neural Dynamics Research Group	IRCCS San Camillo Hospital	Venice	Italy
9	7	1	Michael		Dayan	Human Neuroscience Platform	Fondation Campus Biotech Geneva	Geneva	Switzerland
10	8	1	R.	Todd	Constable	Yale MRRC	Yale University	New Haven CT	USA
11	8	2				School of Medicine	Yale University	New Haven CT	USA
12	9	1	Nikoloz		Sirmpilatze	Functional Imaging Laboratory	German Primate Center - Leibniz Institute for Primate Research	Göttingen	Germany
13	10	1	Fabrizio		De Vico Fallani	ARAMIS team	Inria	Paris	France
14	10	2				Paris Brain Institute	Sorbonne Universites	Paris	France
15	11	1	Yu-Fang		Yang	Department of Psychology	Würzburg University	Würzburg	Germany
16	12	1	Samuel		Guay		University of Montréal	Montréal, Québec	Canada
17	13	1	Gregory		Kiar	Montréal Neurological Institute	McGill University	Montréal, Québec	Canada
18	14	1	Roxane		Licandro		Medical University of Vienna	Vienna	Austria
19	14	2					TU Wien	Vienna	Austria
20	15	1	AmanPreet		Badhwar	Multiomics Investigation of Neurodegenerative Diseases (MIND) Lab	University of Montréal	Montréal, Québec	Canada
21	15	2				Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal	University of Montréal	Montréal, Québec	Canada
22	15	3				Département de pharmacologie et physiologie	University of Montréal	Montréal, Québec	Canada
23	16	1	César		Caballero-Gaudes		Basque Center on Cognition, Brain and Language	San Sebastián-Donostia	Spain
24	17	1	Lucina	Q.	Uddin	Department of Psychology	University of Miami	Florida	USA
25	18	1	Matteo		Visconti di Oleggio Castello	Helen Wills Neuroscience Institute	University of California, Berkley	Berkeley	USA
26	19	1	Dorien	C.	Huijser	Erasmus School of Social and Behavioural Sciences	Erasmus University Rotterdam	Rotterdam	The Netherlands
27	19	2				Developmental and Educational Psychology	Leiden University	Leiden	The Netherlands
28	20	1	Eleftherios		Garyfallidis	Intelligent Systems Engineering	Indiana University	Bloomington IN	USA
29	21	1	Davide		Poggiali	Padova Neuroscience Center	University of Padova	Padova	Italy
30	22	1	Shawn	A.	Rhoads	Department of Psychology	Georgetown University	Washington D.C.	USA
31	23	1	Stephanie		Noble	Radiology & Biomedical Imaging	Yale University	New Haven CT	USA
32	24	1	Angela	R.	Laird	Department of Physics	Florida International University	Miami FL	USA
33	25	1	Nasim		Anousheh	Intelligent Systems Engineering	Indiana University	Bloomington IN	USA
34	26	1	Thomas	S.	Hartmann		Philipps Universität	Marburg	Germany
35	27	1	Damion	V.	Demeter	Psychology Department	The University of Texas at Austin	Austin TX	USA
36	28	1	Tiago		Quendera		Champalimaud Research	Lisbon	Portugal
37	29	1	Stefano		Moia		Basque Center on Cognition, Brain and Language	San Sebastián-Donostia	Spain
38	29	2					University of the Basque Country (EHU UPV)	San Sebastián-Donostia	Spain
39	30	1	Jon Haitz		Legarreta	Computer Science	Université de Sherbrooke	Sherbrooke	Canada
40	31	1	Camille		Maumet	Empenn ERL U 1228   IRISA UMR 6074	Univ Rennes, Inria, CNRS, Inserm	Rennes	France
41	32	1	Angela		Tam		Perceiv Research Inc.	Montréal, Québec	Canada
42	33	1	Xihe		Xie	Department of Neuroscience	Weill Cornell Medicine	New York City	USA
43	34	1	Andrew		Doyle	McGill Centre for Integrative Neuroscience	McGill University	Montréal, Québec	Canada
44	35	1	Felipe		Meneguzzi	School of Technology	Pontifical Catholic University of Rio Grande do Sul	Porto Alegre	Brazil
45	36	1	Laura		Tomaz da Silva	School of Technology	Pontifical Catholic University of Rio Grande do Sul	Porto Alegre	Brazil
46	37	1	Bramsh	Q.	Chandio	Department of Intelligent Systems Engineering	Indiana University	Bloomington IN	USA
47	38	1	Ai Wern		Chung	Fetal-Neonatal Neuroimaging and Developmental Science Center	Boston Children's Hospital, Harvard Medical School	Boston	USA
48	39	1	Anders		Eklund	Department of Biomedical Engineering	Linköping University	Linköping	Sweden
49	39	2				Department of Computer and Information Science	Linköping University	Linköping	Sweden
50	39	3				Center for Medical Image Science and Visualization (CMIV)	Linköping University	Linköping	Sweden
51	40	1	Guillaume		Dumas	Department of Psychiatry	University of Montréal	Montréal, Québec	Canada
52	40	2				Mila	University of Montréal	Montréal, Québec	Canada
53	41	1	Valentina		Borghesani	Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal	University of Montréal	Montréal, Québec	Canada
54	42	1	Gael	P.	Varoquaux	Parietal	Inria	Saclay	France
55	42	2				Montréal Neurological Institute	McGill University	Montréal, Québec	Canada
56	43	1	Christopher	R.	Madan	Psychology	University of Nottingham	Nottingham	UK
57	44	1	Samuel	A.	Nastase	Princeton Neuroscience Institute	Princeton University	Princeton NJ	USA
58	45	1	Saampras		Ganesan	Systems Neuroscience	Melbourne Neuropsychiatry Centre	Melbourne	Australia
59	45	2				Department of Biomedical Engineering	The University of Melbourne	Melbourne	Australia
60	46	1	Hao-Ting		Wang	Sackler Centre for Consciousness Science	University of Sussex	Brighton	UK
61	46	2				Department of Neuroscience	Brighton and Sussex Medical School, University of Sussex	Brighton	UK
62	46	3				Sussex Neuroscience	University of Sussex	Brighton	UK
63	47	1	Katherine	L.	Bottenhorn	Department of Psychology	Florida International University	Miami FL	USA
64	48	1	Aysha		Motala	Department of Psychology	University of Western Ontario	London ON	Canada
65	49	1	Horea-Ioan		Ioanas	Biological Engineering	MIT	Cambridge	USA
66	49	2				D-ITET	ETH Zurich	Zurich	Switzerland
67	50	1	Andrija		Stajduhar	Croatian Institute for Brain Research, School of Medicine	University of Zagreb	Zagreb	Croatia
68	50	2				Andrija Stampar School of Public Health, School of Medicine	University of Zagreb	Zagreb	Croatia
69	51	1	P. Christiaan		Klink	Department of Vision & Cognition	Netherlands Institute for Neuroscience	Amsterdam	The Netherlands
70	52	1	Gustav		Nilsonne	Department of Clinical Neuroscience	Karolinska Institutet	Stockholm	Sweden
71	52	2				Department of Psychology	Stockholm University	Stockholm	Sweden
72	53	1	Ina		Thome	Department of Psychiatry and Psychotherapy	Philipps Universität	Marburg	Germany
73	54	1	Augusto		Buchweitz	Brain Institute of Rio Grande do Sul	Pontifical Catholic University of Rio Grande do Sul	Porto Alegre	Brazil
74	55	1	J.P.		Manzano-Patron	Radiological Sciences & Sir Peter Mansfield Imaging Centre	University of Nottingham	Nottingham	UK
75	56	1	Clara	A.	Moreau		Pasteur Institute	Paris	France
76	56	2					University of Montréal	Montréal, Québec	Canada
77	57	1	Richard	A.I.	Bethlehem	Autism Research Centre, Department of Psychiatry	University of Cambridge	Cambridge	UK
78	57	2				Brain Mapping Unit, Department of Psychiatry	University of Cambridge	Cambridge	UK
79	58	1	Kathryn	L.	Mills	Department of Psychology	University of Oregon	Eugene	USA
80	58	2				PROMENTA Research Center, Department of Psychology	University of Oslo	Oslo	Norway
81	59	1	Dimitra		Maoutsa	Institute of Software Engineering and Theoretical Computer Science	Technical University of Berlin	Berlin	Germany
82	60	1	Lindsay	D.	Oliver		Centre for Addiction and Mental Health	Toronto	Canada
83	61	1	Claire		Bradley	Queensland Brain Institute	The University of Queensland	St Lucia	Australia
84	62	1	Thomas	B.	Shaw	Centre for Advanced Imaging	The University of Queensland	Brisbane	Australia
85	63	1	Edwina	R.	Orchard	Turner Institute for Brain and Mental Health	Monash University	Melbourne	Australia
86	64	1	Ariel		Rokem	Psychology and eScience Institute	University of Washington	Seattle WA	USA
87	65	1	Kelly	G.	Garner	Queensland Brain Institute	The University of Queensland	St Lucia	Australia
88	65	2				School of Psychology	University of Birmingham	Birmingham	UK
89	65	3				School of Psychology	The University of Queensland	St Lucia	Australia
90	66	1	Julia		Sprenger	Institut de Neurosciences de la Timone	CNRS - Aix-Marseille University	Marseille	France
91	67	1	Christoph		Vogelbacher	Laboratory for Multimodal Neuroimaging,  Department of Psychiatry and Psychotherapy	University of Marburg	Marburg	Germany
92	68	1	Sylvain		Takerkart	Institut de Neurosciences de la Timone	CNRS - Aix-Marseille University	Marseille	France
93	69	1	Julia	M.	Huntenburg	Systems Neuroscience Lab	Champalimaud Research	Lisbon	Portugal
94	70	1	Giorgia		Cona	Department of General Psychology	University of Padova	Padova	Italy
95	71	1	Patrick		Friedrich	Institute of Neuroscience and Medicine, Brain & Behaviour (INM-7)	Research Centre Jülich	Jülich	Germany
96	72	1	R. Austin		Benn		Centro Nacional de Investigaciones Cardiovasculares (CNIC)	Madrid	Spain
97	73	1	Xenia		Kobeleva	Department of Neurology	University of Bonn	Bonn	Germany
98	73	2					German Center for Neurodegenerative Diseases (DZNE)	Bonn	Germany
99	74	1	Lydia		Riedl	Department of Psychiatry and Psychotherapy	Philipps Universität	Marburg	Germany
100	75	1	Mathias		Scharinger	German Linguistics & Fine Arts Science,  Institute of German Linuguistics	University of Marburg	Marburg	Germany
101	76	1	Nathalia	B.	Esper	Neuroimaging of Human Cognition	Brain Institute of Rio Grande do Sul	Porto Alegre	Brazil
102	77	1	Lea-Theresa		Mais		University of Marburg	Marburg	Germany
103	78	1	Jean-Baptiste		Poline	Neurology and Neurosurgery	McGill University	Montréal, Québec	Canada
104	78	2				Helen Wills Neuroscience Institute	University of California, Berkley	Berkeley	USA
105	79	1	Sina		Mansour L.	Department of Biomedical Engineering	The University of Melbourne	Melbourne	Australia
106	80	1	Georg		Langs	CIR Department of Biomedical Imaging and Image-guided Therapy	Medical University of Vienna	Vienna	Austria
107	80	2				CSAIL	MIT	Cambridge	USA
108	81	1	Matteo		Mancini	Department of Neuroscience	Brighton and Sussex Medical School, University of Sussex	Brighton	UK
109	81	2					Cardiff University	Cardiff	UK
110	81	3					Polytechnique Montreal	Montréal, Québec	Canada
111	82	1	Suzanne	T.	Witt	BrainsCAN	University of Western Ontario	London ON	Canada
112	83	1	John	W.	VanMeter	Department of Neurology	Georgetown University	Washington D.C.	USA
113	83	2				Center for Functional and Molecular Imaging	Georgetown University Medical Center	Washington D.C.	USA
114	84	1	Erin	W.	Dickie	Krembil Centre from Neuroinformatics	Centre for Addiction and Mental Health	Toronto	Canada
115	84	2				Department of Psychiatry	University of Toronto	Toronto	Canada
116	85	1	Elizabeth		DuPre	NeuroDataScience - ORIGAMI laboratory	McGill University	Montréal, Québec	Canada
117	86	1	Micaela	Y.	Chan	Center for Vital Longevity, School of Behavioral and Brain Sciences	University of Texas at Dallas	Dallas TX	USA
118	87	1	Junaid	S.	Merchant	Neuroscience and Cognitive Science Program	University of Maryland	College Park MD	USA
119	87	2				Department of Psychology	University of Maryland	College Park MD	USA
120	88	1	Laura	C.	Rice	Neuroscience	American University	Washington D.C.	USA
121	88	2				Neurology	Johns Hopkins University	Baltimore MD	USA
122	89	1	Rudolph		Pienaar	Radiology	Boston Children's Hospital, Harvard Medical School	Boston	USA
123	89	2				Radiology	Harvard Medical School	Boston	USA
124	90	1	Serge		Koudoro		Indiana University	Bloomington IN	USA
125	91	1	Elizabeth	A.	McDevitt	Princeton Neuroscience Institute	Princeton University	Princeton NJ	USA
126	92	1	Yasmine		Bassil	Graduate Division of Biological & Biomedical Sciences	Emory University	Atlanta	USA
127	93	1	Paula	P.	Brooks	Princeton Neuroscience Institute	Princeton University	Princeton NJ	USA
128	94	1	Johanna		Bayer	Faculty of Medicine, Dentistry and Health Sciences	University of Melbourne	Melbourne	Australia
129	94	2					Orygen Youth Health	Melbourne	Australia
130	95	1	Rémi		Gau	Institute of psychology	Université catholique de Louvain	Louvain la Neuve	Belgium
131	96	1	Olivia	W.	Stanley	Centre for Functional and Metabolic Mapping	University of Western Ontario	London ON	Canada
132	96	2				Department of Medical Biophysics	University of Western Ontario	London ON	Canada
133	97	1	Geetika		Gupta	Department of Psychology	Western University	London ON	Canada
134	97	2				Brain and Mind Institute	Western University	London ON	Canada
135	98	1	Jason		Kai	Department of Medical Biophysics	University of Western Ontario	London ON	Canada
136	99	1	David		O'Connor	Department of Biomedical Engineering	Yale University	New Haven CT	USA
137	100	1	R.	Cameron	Craddock	Department of Diagnostic Medicine	The University of Texas at Austin Dell Medical School	Austin TX	USA
138	101	1	Matheus		Marcon	School of Technology	Pontifical Catholic University of Rio Grande do Sul	Porto Alegre	Brazil
139	102	1	Anisha		Keshavan		Octave Bioscience		USA
140	102	2				eScience Institute	University of Washington	Seattle WA	USA
141	102	3				Institute for Learning and Brain Science	University of Washington	Seattle WA	USA
142	103	1	Steve		Wideman	NBL	University of Alabama at Birmingham	Birmingham AL	USA
143	103	2				CNC	University of Alabama at Birmingham	Birmingham AL	USA
144	104	1	Link		Tejavibulya	Interdepartmental Neuroscience Program	Yale University	New Haven CT	USA
145	105	1	Thomas	G.	Close	School of Biomedical Engineering	The University of Sydney	Sydney	Australia
146	105	2					National Imaging Facility	Sydney	Australia
147	106	1	Steffen		Bollmann	School of Information Technology and Electrical Engineering	The University of Queensland	Brisbane	Australia
148	106	2				Centre for Advanced Imaging	The University of Queensland	Brisbane	Australia
149	107	1	Patrick	J.	Park	Engineering	University of Western Ontario	London ON	Canada
150	108	1	Kirstie	Jane	Whitaker	Tools, Practices and Systems Research Programme	Alan Turing Institute	London	UK
151	109	1	Xi-Nian		Zuo	State Key Laboratory of Cognitive Neuroscience and Learning	Beijing Normal University	Beijing	China
152	109	2				National Basic Public Science Data Center	Chinese Academy of Sciences	Beijing	China
153	109	3				School of Education Sciences	Nanning Normal University	Nanning	China
154	110	1	Elizabeth		Levitis	Section on Developmental Neurogenomics	National Institute of Mental Health	Bethesda MD	USA
155	110	2				Centre for Medical Image Computing, Department of Computer Science	University College London	London	UK
156	111	1	Aki		Nikolaidis	Center for the Developing Brain	Child Mind Institute	New York City	USA
157	112	1	Christopher	R.	Nolan	Department of Psychology	University of New South Wales	Sydney	Australia
158	113	1	José	C.	García Alanis	Department of Psychology	Philipps Universität	Marburg	Germany
159	114	1	Nicolas		Traut	Human Genetics and Cognitive Functions	Institut Pasteur	Paris	France
160	114	2				Center for Research and Interdisciplinarity	Université Paris Descartes	Paris	France
161	115	1	Lena		Dorfschmidt	Brain Mapping Unit, Department of Psychiatry	University of Cambridge	Cambridge	UK
162	116	1	Sook-Lei		Liew	Stevens Neuroimaging and Informatics Institute	University of Southern California	Los Angeles CA	USA
163	117	1	Fernando	A.	Barrios	Instituto de Neurobiología	Universidad Nacional Autónoma de México	Querétaro	México
164	118	1	Stephan		Heunis	Department of Electrical Engineering	Eindhoven University of Technology	Eindhoven	The Netherlands
165	119	1	Isil	P.	Bilgin	Biomedical Engineering,  Cybernetics	University of Reading	Reading	UK
166	119	2				Allied Health Professions	University of the West of England	Bristol	UK
167	120	1	Roberto		Toro	Neuroscience department	Institut Pasteur	Paris	France
168	120	2				Center for Research and Interdisciplinarity (CRI)	Université Paris Descartes	Paris	France
169	121	1	Peer		Herholz	McConnell Brain Imaging Centre, The Neuro (Montreal Neurological Institute-Hospital)	McGill University	Montréal, Québec	Canada
170	122	1	Anibal	S.	Heinsfeld	Computational Neuroimaging Lab	University of Texas at Austin	Austin TX	USA
171	122	2				Department of Computer Science	University of Texas at Austin	Austin TX	USA
172	123	1	Sofie		Van Den Bossche	Department of Data Analysis, Faculty of Psychology and Educational Sciences	Ghent University	Ghent	Belgium
173	124	1	Robert		Oostenveld	Donders Institute for Brain, Cognition and Behaviour	Radboud University	Nijmegen	The Netherlands
174	124	2				NatMEG	Karolinska Institutet	Stockholm	Sweden
175	125	1	Agah		Karakuzu	NeuroPoly Lab	Institute of Biomedical Engineering	Montréal, Québec	Canada
176	125	2				Montreal Heart Institute	University of Montréal	Montréal, Québec	Canada
177	126	1	Satrajit	S.	Ghosh	McGovern Institute for Brain Research	MIT	Cambridge	USA
178	126	2				Department of Otolaryngology - Head and Neck Surgery	Harvard Medical School	Boston	USA
179	127	1	Cyril	R.	Pernet	Centre for Clinical Brain Sciences	University of Edinburgh	Edinburgh	UK
180	128	1	James	M.	Shine	Faculty of Medicine and Health	The University of Sydney	Sydney	Australia
181	129	1	Oscar		Esteban	Department of Radiology	Lausanne University Hospital, University of Lausanne	Lausanne	Switzerland
182	130	1	Chao-Gan		Yan	CAS Key Laboratory of Behavioral Science	Institute of Psychology	Beijing	China
183	130	2				International Big-Data Center for Depression Research	Chinese Academy of Sciences	Beijing	China
184	131	1	Shreyas		Fadnavis		Indiana University	Bloomington IN	USA
185	132	1	Iska		Moxon-Emre	Child, Youth and Family Service	Centre for Addiction and Mental Health	Toronto	Canada
186	133	1	Alexandre	R.	Franco	Center for Biomedical Imaging and Neuromodulation	Nathan Kline Institute	Orangeburg NY	USA
187	133	2				Center for the Developing Brain	Child Mind Institute	New York City	USA
188	133	3				Department of Psychiatry	NYU Grossman School of Medicine	New York City	USA
189	134	1	Simon		Schwab		University of Zurich	Zurich	Switzerland
190	135	1	Thomas	E.	Nichols	Big Data Institute	University of Oxford	Oxford	UK
191	135	2				WIN-FMRIB	University of Oxford	Oxford	UK
192	136	1	Aurina		Arnatkeviciute	The Turner Institute for Brain and Mental Health, School of Psychological Sciences	Monash University	Victoria	Australia
193	137	1	Sidhant		Chopra	Turner Institute for Brain and Mental Health	Monash University	Melbourne	Australia
194	138	1	Jakub		Vohryzek	Department of Psychiatry	University of Oxford	Oxford	UK
195	139	1	Stephanie	J.	Forkel	CNRS UMR 5293 Institut des Maladies Neurodégénératives		Bordeaux	France
196	139	2				Department Neuroimaging,  Institute of Psychiatry, Psychology and Neurosciences	King's College London	London	UK
197	140	1	Michel		Thiebaut de Schotten	Brain Connectivity and Behaviour Laboratory	Sorbonne Universities	Paris	France
198	140	2				Groupe d’Imagerie Neurofonctionnelle, Institut des Maladies Neurodégénératives- UMR 5293, CNRS	CEA University of Bordeaux	Bordeaux	France
199	141	1	Tomislav		Lipic	Laboratory for Machine Learning and Knowledge Representation	Ruder Boskovic Institute	Zagreb	Croatia
200	142	1	Pierre		Bellec	Psychology Department	University of Montréal	Montréal, Québec	Canada
201	142	2				Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal	University of Montréal	Montréal, Québec	Canada
202	143	1	Jakša		Vukojević		University psychiatric hospital Vrače	Zagreb	Croatia
203	144	1	Eugene	P.	Duff		University of Oxford	Oxford	UK
204	145	1	Felix		Hoffstaedter	Institute of Neuroscience and Medicine, Brain & Behaviour (INM-7)	Research Centre Jülich	Jülich	Germany
205	145	2				Institute of Systems Neuroscience, Medical Faculty	Heinrich-Heine University Duesseldorf	Duesseldorf	Germany
206	146	1	Malin	S.	Sandström	INCF	Karolinska Institute	Stockholm	Sweden
207	147	1	Anqi		Qiu	Department of Biomedical Engineering	National University of Singapore	Singapore	Singapore
208	148	1	Daniel	J	Lurie	Department of Psychology	University of California, Berkeley	Berkeley	USA
209	149	1	Mahboobeh 		Parsapoor	Computer Science Department	University of Toronto	Toronto	Canada
210	149	2					Vector Institute for Artificial Intelligence 		
211	149	3					Women in Artificial Intelligence & Machine Learning (WinAIML)		
212	150	1	Ting		Xu	Center for the Developing Brain	Child Mind Institute	New York	USA
213	151	1	Tristan		Glatard	Department of Computer Science and Software Engineering  	Concordia University	Montréal, Québec	Canada
214	152	1	Daniela	M	Hohmann	Department of Psychiatry and Psychotherapy 	Philipps Universität	 Marburg	Germany
215	153	1	Cassandra	D	Gould van Praag	Wellcome Centre for Integrative Neuroimaging	University of Oxford	Oxford	UK
216	154	1	Daniel	S.	Margulies		Centre National de la Recherche Scientifique (CNRS)		France
217	154	2				INCC UMR 8002	Université de Paris	Paris	France
218	155	1	Valérie		Hayot-Sasson	Department of Computer Science and Software Engineering  	Concordia University	Montréal, Québec	Canada
